interview__key,num_prod,productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
45-98-88-68,5,garbanzo,150,1,,5,1,,150,tamaño insuficiente del grano,5,1,,9,,#NULL!,#NULL!,
45-98-88-68,6,alpiste,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
00-52-44-33,1,"manzana, plantando, chiles secos, pepinos, coyote, brócoli, sandia, melon, platano macho, peras, duraznos, limón, cilantro, cebollas, papas, calabazas, melon, papayas, aguacate, ajos, jitomate, tomate, chile gordo, chile, kiwi y alimento la posta para animales",20000,1,,250,2,,0,Por maduración en frutas y verduras,50,1,,6,,#NULL!,#NULL!,
75-80-02-25,1,Combos de comida rápida,120,6,Combos,8,6,Combos,120,por mal transporte o porque no es el combo que se solicitó,5,6,combos,7,,#NULL!,#NULL!,
75-80-02-25,2,"Platillos armados para comedores de pequeñas empresas, negocios y oficinas",100,6,Platillos,10,6,platillos,200,"A veces se solicitan más platillos de los requeridos, y no se pueden regresar",6,6,platillos,7,,#NULL!,#NULL!,
46-20-50-93,1,Queso Oaxaca,6000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-20-50-93,2,Requeson,20000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-20-50-93,3,Adobera de Mesa,40000,1,,30,1,,2000,regresan el producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-20-50-93,4,Adobera de fundir,10000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-20-50-93,5,Panela,45000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-48-02-01,1,queso panela,178500,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-36-13-35,1,Queso Panela,1400,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-36-13-35,2,Requeson,850,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-36-13-35,3,Queso Adobera de Mesa,3000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-36-13-35,4,Queso Oaxaca,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-36-13-35,5,Queso Adobera de fundir,800,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-14-89-64,1,Queso cotija,480,1,,15,1,,104000,devolución,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-14-89-64,2,Queso Oaxaca,1120,1,,10,1,,10300,devoluciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-14-89-64,3,Queso panela,2080,1,,15,1,,10400,devoluciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
46-14-89-64,4,Queso Adobera,3456,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-84-41-90,1,Queso Oaxaca,500,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-84-41-90,2,Queso Adobera de fundir,3000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-84-41-90,3,Queso Panela,2000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-84-41-90,4,Queso de Mesa,1000,1,,400,1,,4800,cambiarlo por frescos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-84-41-90,5,Requeson,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
32-81-38-30,1,panela,6000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-61-09-61,1,pizza,10,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
75-61-09-61,2,boneless,12,1,,800,6,gramos,70,pellejo y nervio que no se puede dejar,800,6,gramos,7,,#NULL!,#NULL!,
20-71-86-36,2,boneless,15,1,,0,1,,200,no sé vendían,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-71-86-36,3,hamburguesas,5,1,,1,1,,300,no sé vendieron,1,1,,7,,#NULL!,#NULL!,
20-71-86-36,4,alitas,25,1,,1,1,,150,no se vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-71-86-36,6,pizza,5,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-26-83-91,1,queso panela,6900,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-26-83-91,2,queso de mesa,900,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-26-83-91,3,queso de fundir,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-26-83-91,4,requesón,4200,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
33-09-39-82,1,Pollo,80,1,,3,1,,250,No se vendió,3,1,,6,,#NULL!,#NULL!,
33-09-39-82,2,Huevo,80,1,,2,1,,70,Mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
33-09-39-82,3,Ensalada verde,80,6,Piezas,8,6,Piezas,280,No se vendió,8,6,Piezas,6,,#NULL!,#NULL!,
33-09-39-82,4,Cóctel de frutas,60,6,Piezas,8,6,Piezas,200,Vida útil de la fruta,2,6,Piezas,6,,#NULL!,#NULL!,
80-78-89-92,1,pozole,50,3,,10,3,,1000,no se vendió,10,3,,9,,#NULL!,#NULL!,
80-78-89-92,2,tostadas,9,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-78-89-92,3,enchiladas,5,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-01-32-67,1,plátano,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-01-32-67,2,fresa,600,1,,80,1,,5000,Depende de la venta,40,1,,10,,#NULL!,#NULL!,
94-01-32-67,3,naranja,500,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-01-32-67,4,papaya,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
15-02-62-54,1,Queso panela,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
97-61-82-54,1,pollo fresco,600,6,pollos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-42-05-65,1,queso de mesa,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
47-45-50-81,1,queso Adobera,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-46-70-99,1,enchiladas,10,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-46-70-99,2,alitas,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-46-70-99,3,hamburguesas,5,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-46-70-99,4,tacos,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
76-26-19-30,1,Pechuga de pollo,6,6,cajas,1,6,unidad,100,Material que no se puede utilizar,1,6,unidad,9,,#NULL!,#NULL!,
06-08-47-90,1,Carnes Rojas,150,1,,4,1,,425,No ventas,4,1,,10,,#NULL!,#NULL!,
06-08-47-90,2,Refrescos,350,3,,15,3,,480,Caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
06-08-47-90,4,Tortillas,25,1,,4,1,,60,No Sé Vendieron,4,1,,3,,3,1,
06-08-47-90,5,Cebolla,55,1,,5,1,,65,No Sé Vendió,5,1,,10,,#NULL!,#NULL!,
06-08-47-90,6,Cilantro,20,6,Manojo,4,6,Manojo,60,Por qué se óxido,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
06-08-47-90,7,Tomate,45,1,,2,1,,34,Por qué se pudrió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
06-08-47-90,8,Limón,35,1,,4,1,,68,Por qué se seco,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-75-59-85,1,Queso,200,1,,23,1,,3000,Falla de calidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-75-59-85,2,Tocino,160,1,,1,1,,185,Falla de calidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-75-59-85,3,Jamón,300,1,,21,1,,1840,Por caducidad,12,1,,1,,9,1,
51-75-59-85,4,Salchicha,210,1,,9,1,,360,Falla de calidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-75-59-85,5,Chorizo,50,1,,5,1,,400,Por caducidad,2,1,,1,,2,1,
78-71-63-16,1,Carne de res,20,1,,4,1,,2500,No se consumió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-71-63-16,2,Carne de cerdo,5,1,,2,1,,1620,No se consumió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-71-63-16,3,Brocoli,6,1,,2,1,,600,No se consumió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-71-63-16,4,Colifror,8,1,,1,1,,230,No se consumió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-71-63-16,5,Papa,15,1,,4,1,,520,No se consumió,1,1,,9,,#NULL!,#NULL!,
78-71-63-16,6,Zanahoria,8,1,,3,1,,120,Se hecho a perder,3,1,,9,,#NULL!,#NULL!,
78-71-63-16,7,Pollo,30,1,,4,1,,1340,No se consumió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-51-66-98,1,Jamón a granel,650,1,,30,1,,2000,Caducidad,20,1,,10,,#NULL!,#NULL!,
26-51-66-98,2,Salchicha a granel,600,1,,6,1,,180,Falla de calidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-51-66-98,3,Jamón de paquetería,250,1,,40,1,,1200,Caducidad,20,1,,10,,#NULL!,#NULL!,
26-51-66-98,4,Salchicha de paquetería,350,1,,50,1,,1000,Caducidad,20,1,,10,,#NULL!,#NULL!,
26-51-66-98,5,Salchicha para asar,400,1,,50,1,,2500,Caducidad,20,1,,10,,#NULL!,#NULL!,
26-51-66-98,6,Tocino,120,1,,10,1,,600,Caducidad,2,1,,10,,#NULL!,#NULL!,
19-20-87-84,1,Jamón de paquetería,950,1,,80,1,,3400,Caducidad,20,1,,9,,#NULL!,#NULL!,
19-20-87-84,2,Salchicha de paquetería,287,1,,30,1,,4500,Caducidad,10,1,,9,,#NULL!,#NULL!,
19-20-87-84,3,Yogurth,1500,1,,200,1,,8000,Caducidad,60,1,,9,,#NULL!,#NULL!,
19-20-87-84,4,Jamón a granel,600,1,,40,1,,3600,Caducidad,15,1,,9,,#NULL!,#NULL!,
19-20-87-84,5,Salchicha a granel,150,1,,6,1,,540,Falla de calidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
19-20-87-84,6,Tocino de paquetería,14,1,,1,1,,690,Caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
19-20-87-84,7,Salchicha para asar,144,1,,20,1,,1000,Falla de calidad,6,1,,9,,#NULL!,#NULL!,
19-20-87-84,8,Crema,90,1,,15,1,,450,Caducidad,8,1,,9,,#NULL!,#NULL!,
19-20-87-84,9,Tacos de maíz (paquetería),72,1,,6,1,,480,Caducidad,2,1,,9,,#NULL!,#NULL!,
10-67-95-74,1,Huevo,200,1,,1,1,,36,Huevos rotos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
10-67-95-74,2,Leche,100,3,,2,3,,40,Caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
10-67-95-74,3,Salchicha,50,1,,1,1,,50,Caducida,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
10-67-95-74,4,Jitomate,100,1,,1,1,,25,Pudricion,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-99-05-74,1,Pechuga de pollo preparada,1,2,,50,1,,4000,Mal manejo de PEPS,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-99-05-74,2,caldos,500,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-99-05-74,3,Tortas,350,6,unidades,7,6,unidades,500,Descuido del personal,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
96-31-44-15,1,Tómate,40,2,,3,2,,14970,Mal almacenamiento,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
96-31-44-15,2,Chile,10,2,,500,1,,8000,Mal almacenamiento,20,1,,6,,#NULL!,#NULL!,
96-31-44-15,3,Papa,40,2,,1,2,,16000,Mal transporte y manejo al almacenarla,1,2,,10,,#NULL!,#NULL!,
96-31-44-15,4,Cebolla,30,2,,10,2,,75000,Mal transporte y mucho movimiento,5,2,,6,,#NULL!,#NULL!,
96-31-44-15,5,Lechuga,4,2,,330,1,,3300,Maltrato del cliente,330,1,,6,,#NULL!,#NULL!,
42-81-25-93,1,Harina,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-81-25-93,2,Huevo,25,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-81-25-93,3,Mantequilla,7,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-81-25-93,4,leche,36,3,,4,3,,70,se tira cuando tiene más de 2 días abierta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-81-25-93,5,frutas enlatadas,20,6,latas de 890gramos,1,6,lata de 890 gramos,60,"porque se echa a perder, tiene espuma",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-81-25-93,6,fresas frescas,4,1,,1,1,,70,"se pudre, se le hace hongo",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
28-11-84-29,1,Carnitas de cerdo,180,1,,3,1,,540,No se vendio,3,1,,6,,#NULL!,#NULL!,
28-11-84-29,2,Quesadillas,90,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
28-11-84-29,3,Chilaquiles,90,1,,1,1,,150,No se vendio,1,1,,6,,#NULL!,#NULL!,
28-11-84-29,4,Tacos dorados,60,1,,2,1,,200,No se vendio,2,1,,6,,#NULL!,#NULL!,
28-11-84-29,5,Enchiladas,4,1,,1,1,,150,No se vendio,1,1,,6,,#NULL!,#NULL!,
65-90-50-74,1,carne de cerdo,200,1,,2,1,,200,se cayó al piso,5,1,,6,,#NULL!,#NULL!,
65-90-50-74,2,carne de res,300,1,,30,1,,1500,mal manejo del producto,5,1,,7,,#NULL!,#NULL!,
18-07-11-74,1,Carne de puerco,180,1,,4,1,,400,"Por el cebo, nervios que trae, todo eso se lo quita al producto",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,2,Pan francés,340,6,piezas de pan francés,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,3,tortillas de maiz,40,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,4,aguacate,4,6,Rejas pesan aproximadamente 8 a 9 kilos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,5,tomate,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,6,cebolla,8,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-07-11-74,7,limon,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,1,Harina,24,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,2,Manteca Vegetal,8,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,3,Azucar,8,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,4,leche condensada,20,6,Latas de 380 gramos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,5,galletas Maria,24,6,Paquetes de 170 gr,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-01-74-26,6,queso crema,8,6,Barras de aproximadamente 150 gramos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-65-72-32,1,carne de puerco,90,1,,15,1,,900,Falta de clientes,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-65-72-32,2,carne de res,120,1,,20,1,,2000,Falta de clientes,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-65-72-32,3,carne de pollo,40,1,,10,1,,300,Falta de clientes,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-65-72-32,4,carne de pescado,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
98-75-00-04,1,Carne,200,1,,30,1,,5000,mucha grasa y asi no se vende,10,1,,9,,#NULL!,#NULL!,
98-75-00-04,2,Pollo,300,1,,30,1,,1050,se desbarataba y asi no se puede vender,30,1,,9,,#NULL!,#NULL!,
98-75-00-04,3,Higado,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
98-75-00-04,4,Riñon,50,1,,5,1,,300,se hecho a perder porque no se vendio y caducó,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
61-71-58-17,1,Naranja,425,1,,15,1,,450,No Sé Vendió,10,1,,6,,#NULL!,#NULL!,
61-71-58-17,2,Zanahoria,480,1,,20,1,,250,Se Pudrió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
61-71-58-17,3,Piña,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
61-71-58-17,4,Betabel,16,1,,3,1,,70,No Sé Vendió,3,1,,9,,#NULL!,#NULL!,
61-71-58-17,5,Apio,5,6,Manojos,1,6,Manojo,23,No Sé Vendió,1,1,,9,,#NULL!,#NULL!,
64-93-28-33,1,Tortillas,65,1,,6,1,,90,No Sé Vendió,6,1,,10,,#NULL!,#NULL!,
64-93-28-33,2,Carne De Res,13,1,,1,1,,60,No Sé Vendió,1,1,,6,,#NULL!,#NULL!,
64-93-28-33,3,Papa,25,1,,1,1,,25,No Sé Vendió,1,1,,6,,#NULL!,#NULL!,
64-93-28-33,4,Repollo,2,6,Arpillas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
64-93-28-33,5,Aguacate,20,1,,2,1,,50,No Sé Vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-58-51-38,1,tomate,100,1,,10,1,,150,se pudrió y echó a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-58-51-38,2,cebolla,80,1,,5,1,,100,no se vendia,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-58-51-38,3,chile serrano,20,1,,2,1,,40,no se vendia,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-58-51-38,4,papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
74-51-28-39,1,Tómate,35,2,,2,2,,9980,Por mal manejo en el almacenaje,2,2,,7,,#NULL!,#NULL!,
74-51-28-39,2,Limón,10,2,,700,1,,15400,Mal transporte,700,1,,8,,#NULL!,#NULL!,
74-51-28-39,3,Papa,40,2,,800,1,,12800,Por mal transporte,800,1,,10,,#NULL!,#NULL!,
74-51-28-39,4,Cebolla,40,2,,8,2,,60000,Por mal transporte y almacenaje,8,2,,7,,#NULL!,#NULL!,
74-51-28-39,5,Lechuga,10,2,,600,1,,6000,Mal manejo en el almacenaje,600,1,,7,,#NULL!,#NULL!,
20-49-43-50,1,carnes,500,1,,35,1,,4000,se apestaba y caducaba en ocasiones,15,1,,6,,#NULL!,#NULL!,
20-49-43-50,2,pollo,700,1,,5,1,,125,se desbarataba y asi no se podia vender,5,1,,9,,#NULL!,#NULL!,
76-57-00-58,1,frutas y verduras,500,1,,10,1,,500,por que la fruta entraba en estado putrefacto,3,1,,7,,#NULL!,#NULL!,
60-23-28-91,1,Helados,900,6,Unitario,130,6,unidades,3000,No se venden en el día,130,6,unitario,4,,#NULL!,#NULL!,
69-71-33-89,1,Frutas,12,1,,2,1,,500,No se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
14-60-31-52,1,Carnes frias,25,1,,5,1,,700,No cuenta con las máquinas para refrigeración necesarias,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-13-19-44,1,res,30,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-13-19-44,2,pollo,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-13-19-44,3,cerdo,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
77-13-19-44,4,mariscos,10,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
76-81-14-35,1,Hojaldra de pollo,288,6,por pieza,48,6,por pieza,960,No se dio su venta en el día,48,6,por pieza,9,,#NULL!,#NULL!,
76-81-14-35,2,Hojaldra de queso,216,6,por pieza,24,6,por pieza,480,no se vendió,24,6,"por pieza, de 15cm por 5cm de ancho",9,,#NULL!,#NULL!,
76-81-14-35,3,Hojaldra de manzana,312,6,"por pieza, 15cm de largo, 5cm de ancho",24,6,"por pieza, 15cm de largo, 5cm de ancho",480,por no venderla,20,6,por pieza,9,,#NULL!,#NULL!,
95-91-76-42,1,Tomate,1300,1,,300,1,,2000,El producto llega maltratado,30,6,porcentaje,8,,#NULL!,#NULL!,
20-35-84-30,1,quesos,1260,1,,1,1,,120,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-35-84-30,2,panetelas,200,6,piezas,99,6,pieza,50,vienen mal sellado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-35-84-30,3,mermelada,99,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-35-84-30,4,vinos,75,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-35-84-30,5,mantequillas,1000,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-35-84-30,6,cafe,200,1,,1,1,,110,mal manejo del producto,1,1,,9,,#NULL!,#NULL!,
20-35-84-30,7,chocolates,25,6,piezas,1,6,pieza,50,se rompen los productos,1,6,pieza,9,,#NULL!,#NULL!,
93-51-89-66,1,Jitomate,200,1,,10,1,,250,se desconpuso,5,1,,7,,#NULL!,#NULL!,
93-51-89-66,2,Tomate,250,1,,70,1,,250,No se vendió,5,1,,7,,#NULL!,#NULL!,
51-95-98-16,1,Tomate,200,1,,5,1,,200,Que no se venda,10,1,,6,,#NULL!,#NULL!,
51-95-98-16,2,Jitomate,200,1,,7,1,,150,Maltratado,10,1,,6,,#NULL!,#NULL!,
51-95-98-16,3,Cebolla,150,1,,12,1,,90,Maltratado,15,1,,6,,#NULL!,#NULL!,
51-95-98-16,4,Limón,300,1,,10,1,,100,Maltratado,5,1,,6,,#NULL!,#NULL!,
51-95-98-16,5,Papá,200,1,,12,1,,140,Maltratado,7,1,,6,,#NULL!,#NULL!,
57-05-10-30,1,Jitomate,80,1,,5,1,,100,Producto maltratado,5,1,,8,,#NULL!,#NULL!,
57-05-10-30,2,Cebolla,80,1,,3,1,,70,Maltratado,3,1,,8,,#NULL!,#NULL!,
57-05-10-30,3,Limón,100,1,,5,1,,65,Maltratado,5,1,,8,,#NULL!,#NULL!,
48-55-38-68,1,Queso Oaxaca,400,1,,5,1,,400,"""la gente ya no lo compra """"merma""""""",5,1,,9,,#NULL!,#NULL!,
48-55-38-68,2,Queso Panela,120,1,,5,1,,400,"""la gente no lo compra """"merma""""""",5,1,,9,,#NULL!,#NULL!,
48-55-38-68,3,Queso Manchego,100,1,,2,1,,100,"""la gente no lo compra """"merma""""""",2,1,,9,,#NULL!,#NULL!,
30-21-76-92,1,pollo,1500,1,,50,1,,1500,por el mismo manejo del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
15-12-58-41,1,cebolla,500,1,,150,1,,3000,selección de mercancía,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
